	id	arquivo	nome	ano	km	cor	cambio	portas	preco
551	660	./dados/dados_carro\Carro-1750.html	Hyundai HB20 1.0 Vision 2020	2020 / 2020	0.0	Preto	manual	5.0	45.990,00
552	661	./dados/dados_carro\Carro-1751.html	Hyundai HB20 1.0 Sense 2020	2020 / 2020	1.0	Branco	manual	4.0	46.900,00
553	662	./dados/dados_carro\Carro-1752.html	Hyundai HB20 1.0 Sense 2020	2020 / 2020	0.0	Prata	manual	4.0	46.900,00
554	663	./dados/dados_carro\Carro-1753.html	Hyundai HB20 1.0 Vision 2020	2020 / 2020	0.0	Não informada.	manual	4.0	46.990,00
555	664	./dados/dados_carro\Carro-1754.html	Hyundai HB20 1.0 Sense 2020	2019 / 2020	0.0	Vermelho	manual	4.0	46.990,00
556	665	./dados/dados_carro\Carro-1755.html	Hyundai HB20 1.6 Vision 2020	2019 / 2020	0.0	Várias cores	manual	5.0	46.990,00
557	666	./dados/dados_carro\Carro-1756.html	Hyundai HB20 1.6 Vision 2020	2019 / 2020	0.0	Várias cores	manual		46.990,00
558	668	./dados/dados_carro\Carro-1759.html	Hyundai HB20 1.0 Vision blueMedia 2020	2020 / 2020	0.0	Vermelho	manual		48.860,00
559	670	./dados/dados_carro\Carro-1763.html	Hyundai HB20 1.0 Sense 2020	2020 / 2020	798.0	Branco	manual	4.0	49.800,00
560	671	./dados/dados_carro\Carro-1765.html	Hyundai HB20 1.0 Vision 2020	2020 / 2020	0.0	Várias cores	manual	4.0	49.990,00
561	672	./dados/dados_carro\Carro-1766.html	Hyundai HB20 1.0 Sense 2020	2020 / 2020	0.0	Branco	manual	4.0	49.990,00
562	673	./dados/dados_carro\Carro-1767.html	Hyundai HB20 1.0 Sense 2020	2019 / 2020	0.0	Prata	manual	4.0	49.990,00
563	674	./dados/dados_carro\Carro-1769.html	Hyundai HB20 1.0 Vision 2020	2020 / 2020	0.0	Vermelho	manual	4.0	49.990,00
564	675	./dados/dados_carro\Carro-1770.html	Hyundai HB20 1.0 Vision 2020	2020 / 2020	0.0	Preto	manual	4.0	50.890,00
565	676	./dados/dados_carro\Carro-1771.html	Hyundai HB20 1.6 Vision (Aut) 2020	2020 / 2020	0.0	Várias cores	automático	5.0	50.990,00
566	677	./dados/dados_carro\Carro-1772.html	Hyundai HB20 1.0 Vision 2020	2020 / 2020	0.0	Prata	manual	4.0	51.690,00
567	678	./dados/dados_carro\Carro-1773.html	Hyundai HB20 1.0 Evolution 2020	2019 / 2020	7.3	Vermelho	manual	5.0	51.900,00
568	679	./dados/dados_carro\Carro-1778.html	Hyundai HB20 1.0 Evolution 2020	2019 / 2020	0.0	Branco	manual	4.0	53.990,00
569	680	./dados/dados_carro\Carro-1780.html	Hyundai HB20 1.0 Evolution 2020	2020 / 2020	0.0	Branco	manual	4.0	56.900,00
570	681	./dados/dados_carro\Carro-1782.html	Hyundai HB20 1.6 Vision (Aut) 2020	2019 / 2020	2.0	Cinza	automático	5.0	57.900,00
571	682	./dados/dados_carro\Carro-1784.html	Hyundai HB20 1.0 Evolution 2020	2019 / 2020	0.0	Prata	manual	4.0	58.900,00
572	683	./dados/dados_carro\Carro-1785.html	Hyundai HB20 1.6 Vision (Aut) 2020	2019 / 2020	0.0	Branco	automático	5.0	58.950,00
573	684	./dados/dados_carro\Carro-1786.html	Hyundai HB20 1.6 Launch Edition (Aut) 2020	2019 / 2020	42.5	Prata	automático	4.0	59.990,00
574	685	./dados/dados_carro\Carro-1787.html	Hyundai HB20 1.0 T-GDI Evolution (Aut) 2020	2020 / 2020	0.0	Branco	automático		61.990,00
575	686	./dados/dados_carro\Carro-1788.html	Hyundai HB20 1.6 Vision (Aut) 2020	2019 / 2020	0.0	automático			62.790,00
576	687	./dados/dados_carro\Carro-1789.html	Hyundai HB20 1.6 Vision (Aut) 2020	2019 / 2020	0.0	automático			62.790,00
577	688	./dados/dados_carro\Carro-1791.html	Hyundai HB20 1.6 Launch Edition (Aut) 2020	2020 / 2020	0.0	Vermelho	automático		63.990,00
578	689	./dados/dados_carro\Carro-1792.html	Hyundai HB20 1.0 T-GDI Evolution (Aut) 2020	2020 / 2020	0.0	Várias cores	automático	4.0	63.990,00
579	690	./dados/dados_carro\Carro-1794.html	Hyundai HB20 1.6 Launch Edition (Aut) 2020	2019 / 2020	6.0	Branco	automático	5.0	64.900,00
580	691	./dados/dados_carro\Carro-18.html	Chevrolet Onix 1.0 LT SPE/4 2019	2019 / 2019	31.0	Cinza	manual	4.0	36.900,00
581	692	./dados/dados_carro\Carro-1800.html	Hyundai HB20 1.0 T-GDI Evolution (Aut) 2020	2019 / 2020	0.0	Branco	automático	5.0	66.990,00
582	693	./dados/dados_carro\Carro-1801.html	Hyundai HB20 1.0 T-GDI Evolution (Aut) 2020	2019 / 2020	0.0	Preto	automático	4.0	67.190,00
583	696	./dados/dados_carro\Carro-1804.html	Hyundai HB20 1.0 T-GDI Evolution (Aut) 2020	2019 / 2020	411.0	Prata	automático	4.0	67.900,00
584	697	./dados/dados_carro\Carro-1806.html	Hyundai HB20 1.0 T-GDI Diamond (Aut) 2020	2019 / 2020	0.0	Branco	automático	5.0	68.000,00
585	698	./dados/dados_carro\Carro-1811.html	Hyundai HB20 1.0 T-GDI Sport (Aut) 2020	2020 / 2020	0.0	Branco	manual	4.0	68.990,00
586	699	./dados/dados_carro\Carro-1812.html	Hyundai HB20 1.0 T-GDI Sport (Aut) 2020	2020 / 2020	0.0	Cinza	automático	4.0	68.990,00
587	700	./dados/dados_carro\Carro-1813.html	Hyundai HB20 1.0 T-GDI Diamond Plus (Aut) 2020	2019 / 2020	0.0	Branco	automático		69.490,00
588	701	./dados/dados_carro\Carro-1814.html	Hyundai HB20 1.0 T-GDI Diamond (Aut) 2020	2019 / 2020	0.0	Vermelho	automático	4.0	69.990,00
589	702	./dados/dados_carro\Carro-1815.html	Hyundai HB20 1.0 T-GDI Sport (Aut) 2020	2020 / 2020	0.0	Branco	automático	4.0	69.990,00
590	703	./dados/dados_carro\Carro-1816.html	Hyundai HB20 1.0 T-GDI Diamond Plus (Aut) 2020	2019 / 2020	0.0	Branco	automático	4.0	69.990,00
591	704	./dados/dados_carro\Carro-1817.html	Hyundai HB20 1.0 T-GDI Diamond Plus (Aut) 2020	2019 / 2020	600.0	Prata	automático		69.990,00
592	705	./dados/dados_carro\Carro-1818.html	Hyundai HB20 1.6 Launch Edition (Aut) 2020	2019 / 2020	0.0	Prata	automático	4.0	70.940,00
593	707	./dados/dados_carro\Carro-1820.html	Hyundai HB20 1.0 Unique 2019	2019 / 2019	32.0	Prata	manual	5.0	40.900,00
594	708	./dados/dados_carro\Carro-1821.html	Hyundai HB20 1.0 Unique 2019	2018 / 2019	51.0	Branco	manual	4.0	40.900,00
595	709	./dados/dados_carro\Carro-1822.html	Hyundai HB20 1.0 Unique 2019	2018 / 2019	29.246	Prata	manual	5.0	40.900,00
596	710	./dados/dados_carro\Carro-1824.html	Hyundai HB20 1.0 Unique 2019	2018 / 2019	28.08	Marrom	manual	4.0	40.990,00
597	711	./dados/dados_carro\Carro-1825.html	Hyundai HB20 1.0 Unique 2019	2018 / 2019	16.097	Prata	manual		41.500,00
598	712	./dados/dados_carro\Carro-1826.html	Hyundai HB20 1.0 Unique 2019	2019 / 2019	37.177	Branco	manual	4.0	41.900,00
599	713	./dados/dados_carro\Carro-1827.html	Hyundai HB20 1.0 Unique 2019	2018 / 2019	32.224000000000004	Preto	manual	5.0	41.900,00
600	714	./dados/dados_carro\Carro-1828.html	Hyundai HB20 1.0 Unique 2019	2019 / 2019	34.0	Cinza	manual	4.0	41.900,00
601	715	./dados/dados_carro\Carro-1829.html	Hyundai HB20 1.0 Unique 2019	2019 / 2019	33.12	Branco	manual	4.0	41.900,00
602	716	./dados/dados_carro\Carro-1830.html	Hyundai HB20 1.0 Unique 2019	2018 / 2019	13.0	Dourado	manual	5.0	41.900,00
603	717	./dados/dados_carro\Carro-1831.html	Hyundai HB20 1.0 Turbo Comfort Plus 2019	2019 / 2019	16.249000000000002	Branco	manual	4.0	45.990,00
604	718	./dados/dados_carro\Carro-1832.html	Hyundai HB20 1.0 Comfort Plus 2019	2019 / 2019	65.0	Prata	manual	3.0	44.900,00
605	719	./dados/dados_carro\Carro-1833.html	Hyundai HB20 1.6 Premium (Aut) 2019	2019 / 2019	27.8	Dourado	automático	4.0	60.890,00
606	720	./dados/dados_carro\Carro-1834.html	Hyundai HB20 1.0 Comfort 2018	2017 / 2018	38.0	Prata	manual	5.0	37.900,00
607	721	./dados/dados_carro\Carro-1835.html	Hyundai HB20 1.0 Comfort 2018	2017 / 2018	47.0	Marrom	manual	4.0	39.900,00
