	id	arquivo	nome	ano	km	cor	cambio	portas	preco
0	0	./dados/dados_carro\Carro-100.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0.0	Laranja	manual	3.0	59.890,00
1	1	./dados/dados_carro\Carro-1004.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	41.07	Branco	manual	2.0	45.900,00
2	2	./dados/dados_carro\Carro-1005.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	48.653999999999996	Prata	manual	4.0	45.900,00
3	4	./dados/dados_carro\Carro-1008.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	19.0	Prata	manual	2.0	45.990,00
4	5	./dados/dados_carro\Carro-1009.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	24.715	Branco	manual	2.0	45.990,00
5	6	./dados/dados_carro\Carro-101.html	Chevrolet Onix 1.0 Turbo Premier (Aut) 2020	2020 / 2020	0.0	Azul	automático		59.900,00
6	7	./dados/dados_carro\Carro-1015.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2019	2019 / 2019	39.441	Prata	manual	2.0	46.000,00
7	8	./dados/dados_carro\Carro-1016.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2019	2019 / 2019	18.86	Branco	manual	2.0	46.300,00
8	9	./dados/dados_carro\Carro-1017.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	40.856	Prata	manual	2.0	46.500,00
9	10	./dados/dados_carro\Carro-1018.html	Fiat Strada Freedom 1.4 (Flex) (Cabine Dupla) 2019	2018 / 2019	78.0	Vermelho	manual		46.500,00
10	11	./dados/dados_carro\Carro-1019.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	25.15	Prata	manual	2.0	46.600,00
11	12	./dados/dados_carro\Carro-102.html	Chevrolet Onix 1.0 Turbo AT (Aut) 2020	2020 / 2020	0.0	Prata	automático	5.0	59.900,00
12	13	./dados/dados_carro\Carro-1020.html	Fiat Strada Hard Working 1.4 (Flex) 2018	2017 / 2018	49.0	Branco	manual	2.0	36.999,00
13	14	./dados/dados_carro\Carro-1021.html	Fiat Strada Working 1.4 (Flex) 2018	2018 / 2018	76.569	Branco	manual	2.0	39.940,00
14	15	./dados/dados_carro\Carro-1022.html	Fiat Strada Hard Working 1.4 (Flex) 2018	2017 / 2018	79.0	Branco	manual		43.500,00
15	16	./dados/dados_carro\Carro-1026.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2018	2018 / 2018	64.0	Branco	manual	2.0	43.000,00
16	17	./dados/dados_carro\Carro-1027.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2018	2017 / 2018	82.63	Branco	manual	3.0	51.900,00
17	18	./dados/dados_carro\Carro-1028.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2018	2018 / 2018	23.046999999999997	Preto	manual		55.900,00
18	19	./dados/dados_carro\Carro-1029.html	Fiat Strada Working 1.4 (Flex) (Cabine Estendida) 2016	2015 / 2016	51.408	Vermelho	manual	2.0	50.000,00
19	20	./dados/dados_carro\Carro-103.html	Chevrolet Onix 1.0 Turbo LT 2020	2020 / 2020	0.0	Branco	manual	5.0	59.900,00
20	21	./dados/dados_carro\Carro-1030.html	Fiat Strada Working 1.4 (Flex) (Cabine Dupla) 2016	2016 / 2016	21.978	Cinza	manual	3.0	53.000,00
21	22	./dados/dados_carro\Carro-1031.html	Fiat Strada Working 1.4 (Flex) 2015	2015 / 2015	88.0	Vermelho	manual	2.0	33.800,00
22	24	./dados/dados_carro\Carro-1033.html	Fiat Strada Working 1.4 (Flex) (Cabine Dupla) 2015	2015 / 2015	100.0	Branco	manual	3.0	43.000,00
23	25	./dados/dados_carro\Carro-1034.html	Fiat Strada Working 1.4 (Flex) (Cabine Dupla) 2015	2014 / 2015	91.962	Branco	manual	3.0	44.900,00
24	26	./dados/dados_carro\Carro-1036.html	Fiat Strada Working 1.4 (Flex) 2014	2013 / 2014	140.0	Prata	manual	2.0	29.900,00
25	28	./dados/dados_carro\Carro-1039.html	Fiat Strada Working 1.4 (Flex) 2013	2013 / 2013	187.52	Marrom	manual		28.000,00
26	29	./dados/dados_carro\Carro-104.html	Chevrolet Onix 1.0 Turbo AT (Aut) 2020	2020 / 2020	0.0	Branco	automático	5.0	59.990,00
27	30	./dados/dados_carro\Carro-1040.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	42.961999999999996	Prata	manual	2.0	46.900,00
28	31	./dados/dados_carro\Carro-1047.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2019	2018 / 2019	18.0	Branco	manual	2.0	46.990,00
29	32	./dados/dados_carro\Carro-1048.html	Fiat Strada 1.4 Freedom (Flex) (Cabine Simples) 2019	2019 / 2019	40.75	Prata	manual	2.0	47.380,00
30	33	./dados/dados_carro\Carro-105.html	Chevrolet Onix 1.0 Turbo AT (Aut) 2020	2020 / 2020	0.0	Vermelho	automático	5.0	59.990,00
31	34	./dados/dados_carro\Carro-1050.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	32.782	Prata	manual	2.0	47.900,00
32	35	./dados/dados_carro\Carro-1051.html	Fiat Strada Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	49.089	Prata	manual		47.900,00
33	36	./dados/dados_carro\Carro-1053.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	18.435	Prata	manual	2.0	48.180,00
34	37	./dados/dados_carro\Carro-1054.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Estendida) 2019	2018 / 2019	48.0	Branco	manual	2.0	48.900,00
35	38	./dados/dados_carro\Carro-1055.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	35.0	Branco	manual	2.0	48.900,00
36	39	./dados/dados_carro\Carro-1056.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Estendida) 2019	2018 / 2019	51.268	Branco	manual	2.0	48.990,00
37	40	./dados/dados_carro\Carro-1057.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Estendida) 2019	2018 / 2019	14.985	Prata	manual	2.0	49.800,00
38	41	./dados/dados_carro\Carro-1058.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Estendida) 2019	2019 / 2019	2.06	Branco	manual	2.0	49.900,00
39	42	./dados/dados_carro\Carro-1059.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Estendida) 2019	2018 / 2019	42.033	Prata	manual	2.0	50.990,00
40	43	./dados/dados_carro\Carro-106.html	Chevrolet Onix 1.0 Turbo LTZ 2020	2020 / 2020	0.0	Laranja	automático	5.0	60.100,00
41	44	./dados/dados_carro\Carro-1060.html	Fiat Strada Working 1.4 (Flex) 2013	2013 / 2013	96.14399999999999	Branco	manual	2.0	28.900,00
42	45	./dados/dados_carro\Carro-1061.html	Fiat Strada Working 1.4 (Flex) 2013	2012 / 2013	158.0	Prata	manual	2.0	28.990,00
43	46	./dados/dados_carro\Carro-1062.html	Fiat Strada Working 1.4 (Flex) 2013	2013 / 2013	132.82299999999998	Preto	manual	2.0	29.900,00
44	47	./dados/dados_carro\Carro-1065.html	Fiat Strada Working 1.4 (Flex) 2013	2013 / 2013	120.98	Prata	manual	2.0	32.900,00
45	48	./dados/dados_carro\Carro-1068.html	Fiat Strada Working 1.4 (Flex) (Cabine Dupla) 2012	2012 / 2012	126.084	Preto	manual	2.0	34.900,00
46	49	./dados/dados_carro\Carro-107.html	Chevrolet Onix 1.0 (Flex) 2020	2020 / 2020	0.0	Prata	manual	5.0	60.290,00
47	50	./dados/dados_carro\Carro-1070.html	Fiat Strada Fire 1.4 (Flex) 2011	2011 / 2011	111.0	Vermelho	manual	2.0	25.000,00
48	51	./dados/dados_carro\Carro-1072.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Várias cores	manual	2.0	45.787,93
49	52	./dados/dados_carro\Carro-1073.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Várias cores	manual	2.0	45.787,99
50	53	./dados/dados_carro\Carro-1074.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Várias cores	manual	2.0	45.798,99
51	55	./dados/dados_carro\Carro-1076.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Várias cores	manual	2.0	45.858,99
52	58	./dados/dados_carro\Carro-108.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0.0	Branco	manual	4.0	60.640,00
53	59	./dados/dados_carro\Carro-1080.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Preto	manual	2.0	52.990,00
54	60	./dados/dados_carro\Carro-1081.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Não informada.	manual	2.0	53.415,00
55	61	./dados/dados_carro\Carro-1083.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Preto	manual	2.0	53.415,00
56	64	./dados/dados_carro\Carro-1086.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Preto	manual	2.0	54.687,00
57	65	./dados/dados_carro\Carro-1087.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Não informada.	manual	2.0	53.416,00
58	66	./dados/dados_carro\Carro-1088.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Branco	manual	2.0	53.416,00
59	67	./dados/dados_carro\Carro-1089.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Branco	manual	2.0	53.770,00
60	68	./dados/dados_carro\Carro-1090.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Branco	manual	2.0	54.171,00
61	69	./dados/dados_carro\Carro-1091.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0.0	Várias cores	manual	4.0	54.499,00
62	70	./dados/dados_carro\Carro-1092.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Branco	manual		55.890,00
63	71	./dados/dados_carro\Carro-1093.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Não informada.	manual	2.0	55.900,00
64	72	./dados/dados_carro\Carro-1094.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Cinza	manual	2.0	56.415,00
65	73	./dados/dados_carro\Carro-1095.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Cinza	manual	2.0	57.447,00
66	74	./dados/dados_carro\Carro-1096.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0.0	Branco	manual	2.0	57.770,00
67	75	./dados/dados_carro\Carro-1097.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0.0	Não informada.	manual	2.0	58.371,00
68	76	./dados/dados_carro\Carro-1098.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0.0	Preto	manual	2.0	58.371,00
69	77	./dados/dados_carro\Carro-1099.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0.0	Não informada.	manual	2.0	58.372,00
70	78	./dados/dados_carro\Carro-11.html	Chevrolet Onix 1.0 LT SPE/4 2019	2019 / 2019	19.732	Prata	manual	4.0	31.293,00
71	79	./dados/dados_carro\Carro-110.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0.0	Vermelho	manual	4.0	60.910,00
72	80	./dados/dados_carro\Carro-1100.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0.0	Branco	manual	4.0	58.770,00
73	81	./dados/dados_carro\Carro-1101.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0.0	Vermelho	manual	2.0	59.127,00
74	82	./dados/dados_carro\Carro-1102.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0.0	Não informada.	manual	3.0	59.700,00
75	83	./dados/dados_carro\Carro-1103.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0.0	Branco	manual	2.0	61.639,00
76	84	./dados/dados_carro\Carro-1108.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0.0	Não informada.	manual	4.0	61.990,00
77	85	./dados/dados_carro\Carro-1109.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0.0	Preto	manual	4.0	62.991,00
78	86	./dados/dados_carro\Carro-111.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0.0	Branco	manual	4.0	60.990,00
79	88	./dados/dados_carro\Carro-1111.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Branco	manual	2.0	63.490,00
80	89	./dados/dados_carro\Carro-1112.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Cinza	manual	2.0	63.570,00
81	90	./dados/dados_carro\Carro-1113.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Preto	manual	3.0	63.590,00
82	91	./dados/dados_carro\Carro-1114.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Preto	manual	2.0	63.590,00
83	92	./dados/dados_carro\Carro-1115.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Branco	manual	2.0	63.590,00
84	93	./dados/dados_carro\Carro-1116.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Várias cores	manual	2.0	63.590,00
85	94	./dados/dados_carro\Carro-1117.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0.0	Não informada.	manual	4.0	63.747,00
86	95	./dados/dados_carro\Carro-1118.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Prata	manual	2.0	63.900,00
87	96	./dados/dados_carro\Carro-112.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0.0	Prata	manual	5.0	60.990,00
88	97	./dados/dados_carro\Carro-1120.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	300.0	Branco	manual	2.0	64.490,00
89	98	./dados/dados_carro\Carro-1121.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Branco	manual	2.0	64.900,00
90	99	./dados/dados_carro\Carro-1122.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Vermelho	manual	2.0	64.900,00
91	100	./dados/dados_carro\Carro-1123.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Prata	manual	2.0	64.900,00
92	101	./dados/dados_carro\Carro-1124.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0.0	Branco	manual	2.0	67.770,00
93	102	./dados/dados_carro\Carro-1125.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Cinza	manual	2.0	68.390,00
94	103	./dados/dados_carro\Carro-1126.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Branco	manual	4.0	68.490,00
95	104	./dados/dados_carro\Carro-1127.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	25.0	Cinza	manual	2.0	68.990,00
96	105	./dados/dados_carro\Carro-1128.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0.0	Cinza	manual	2.0	68.990,00
97	107	./dados/dados_carro\Carro-113.html	Chevrolet Onix 1.0 Turbo LT 2020	2020 / 2020	0.0	Vermelho	manual	5.0	61.180,00
98	108	./dados/dados_carro\Carro-1130.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0.0	Várias cores	manual	2.0	69.490,00
99	109	./dados/dados_carro\Carro-1131.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0.0	Branco	manual	4.0	69.490,00
100	118	./dados/dados_carro\Carro-114.html	Chevrolet Onix 1.0 Turbo LT (Aut) 2020	2020 / 2020	0.0	Branco	automático		60.900,00
101	120	./dados/dados_carro\Carro-1141.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0.0	Branco	manual	4.0	70.011,00
102	121	./dados/dados_carro\Carro-1142.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0.0	Não informada.	manual	4.0	70.191,00
103	122	./dados/dados_carro\Carro-1143.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0.0	Preto	manual	4.0	70.191,00
104	123	./dados/dados_carro\Carro-1144.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0.0	Branco	manual	2.0	70.390,00
105	124	./dados/dados_carro\Carro-1145.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0.0	Branco	manual	4.0	70.390,00
106	125	./dados/dados_carro\Carro-1146.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0.0	Branco	manual	2.0	70.900,00
107	126	./dados/dados_carro\Carro-1147.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0.0	Não informada.	manual	4.0	71.900,00
108	127	./dados/dados_carro\Carro-1148.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0.0	Preto	manual	2.0	72.000,00
109	129	./dados/dados_carro\Carro-115.html	Chevrolet Onix 1.0 Turbo AT (Aut) 2020	2019 / 2020	0.0	Branco	automático	5.0	61.990,00
110	130	./dados/dados_carro\Carro-1150.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0.0	Branco	manual	2.0	73.692,00
111	131	./dados/dados_carro\Carro-1151.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0.0	Prata	manual	4.0	74.990,00
112	140	./dados/dados_carro\Carro-116.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0.0	Laranja	manual	4.0	63.000,00
113	142	./dados/dados_carro\Carro-1161.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Várias cores	manual	4.0	75.990,00
114	143	./dados/dados_carro\Carro-1162.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Não informada.	manual	5.0	76.400,00
115	144	./dados/dados_carro\Carro-1163.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0.0	Preto	manual	4.0	77.990,00
116	146	./dados/dados_carro\Carro-1165.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0.0	Cinza	manual	4.0	77.990,00
117	151	./dados/dados_carro\Carro-117.html	Chevrolet Onix 1.0 Turbo LT 2020	2019 / 2020	0.0	Prata	manual	5.0	63.990,00
118	157	./dados/dados_carro\Carro-1175.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Vermelho	manual	4.0	79.890,00
119	158	./dados/dados_carro\Carro-1176.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Preto	manual	4.0	79.990,00
120	159	./dados/dados_carro\Carro-1177.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Não informada.	manual	4.0	79.990,00
121	161	./dados/dados_carro\Carro-118.html	Chevrolet Onix 1.0 Turbo LT 2020	2020 / 2020	0.0	Branco	manual	3.0	64.590,00
122	162	./dados/dados_carro\Carro-1180.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Cinza	manual	3.0	79.990,00
123	163	./dados/dados_carro\Carro-1181.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Cinza	manual	4.0	79.990,00
124	164	./dados/dados_carro\Carro-1182.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Vermelho	manual	3.0	79.990,00
125	168	./dados/dados_carro\Carro-1187.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Vermelho	manual	4.0	79.990,00
126	171	./dados/dados_carro\Carro-119.html	Chevrolet Onix 1.0 Turbo LT 2020	2019 / 2020	335.0	Preto	manual	4.0	64.900,00
127	173	./dados/dados_carro\Carro-1191.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Várias cores	manual	4.0	79.990,00
128	175	./dados/dados_carro\Carro-1193.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Branco	manual	3.0	79.990,00
129	176	./dados/dados_carro\Carro-1194.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Não informada.	manual	4.0	83.390,00
130	177	./dados/dados_carro\Carro-1195.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Vermelho	manual		83.480,00
131	178	./dados/dados_carro\Carro-1196.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Vermelho	manual	4.0	83.990,00
132	179	./dados/dados_carro\Carro-1197.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Cinza	manual	4.0	82.800,00
133	180	./dados/dados_carro\Carro-1198.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0.0	Vermelho	manual	4.0	85.900,00
134	181	./dados/dados_carro\Carro-1200.html	Ford Ka 1.0 S 2021	2020 / 2021	0.0	Várias cores	manual		32.122,08
135	182	./dados/dados_carro\Carro-1201.html	Ford Ka 1.0 S 2021	2020 / 2021	0.0	Várias cores	manual	4.0	32.122,08
136	185	./dados/dados_carro\Carro-1204.html	Ford Ka 1.0 SE 2021	2020 / 2021	0.0	Preto	manual	4.0	37.097,00
137	186	./dados/dados_carro\Carro-1205.html	Ford Ka 1.0 SE 2020	2019 / 2020	37.0	Prata	manual	5.0	38.900,00
138	187	./dados/dados_carro\Carro-1206.html	Ford Ka Sedan SE 1.0 (Flex) 2020	2019 / 2020	200.0	Cinza	manual	4.0	38.900,00
139	188	./dados/dados_carro\Carro-1207.html	Ford Ka 1.0 SE 2020	2019 / 2020	10.5	Branco	manual	4.0	42.500,00
140	189	./dados/dados_carro\Carro-1208.html	Ford Ka 1.0 SE 2020	2019 / 2020	10.075	Preto	manual	4.0	43.000,00
141	190	./dados/dados_carro\Carro-121.html	Chevrolet Onix 1.0 Turbo LT 2020	2020 / 2020	0.0	Prata	manual	4.0	64.999,00
142	191	./dados/dados_carro\Carro-1211.html	Ford Ka 1.0 SE 2020	2019 / 2020	3.0	Vermelho	manual	5.0	43.990,00
143	192	./dados/dados_carro\Carro-1212.html	Ford Ka 1.0 SE 2020	2019 / 2020	28.0	Cinza	manual	4.0	43.990,00
144	193	./dados/dados_carro\Carro-1213.html	Ford Ka 1.0 SE (Flex) 2019	2019 / 2019	16.892	Preto	manual	4.0	30.431,00
145	194	./dados/dados_carro\Carro-1214.html	Ford Ka 1.0 SE (Flex) 2019	2018 / 2019	38.633	Branco	manual	5.0	36.977,00
146	195	./dados/dados_carro\Carro-1216.html	Ford Ka 1.0 SE (Flex) 2019	2019 / 2019	40.8	Prata	manual	4.0	37.900,00
147	196	./dados/dados_carro\Carro-1217.html	Ford Ka 1.0 SE Plus (Flex) 2019	2018 / 2019	59.0	Prata	manual	4.0	38.000,00
148	197	./dados/dados_carro\Carro-1218.html	Ford Ka 1.0 SE Plus (Flex) 2019	2018 / 2019	60.0	Preto	manual	4.0	38.900,00
149	198	./dados/dados_carro\Carro-122.html	Chevrolet Onix 1.0 Turbo LTZ 2020	2020 / 2020	0.0	Laranja	manual	5.0	65.990,00
150	199	./dados/dados_carro\Carro-1220.html	Ford Ka 1.0 SE 2021	2020 / 2021	0.0	Não informada.	manual		50.740,00
151	200	./dados/dados_carro\Carro-1221.html	Ford Ka 1.0 SE Plus 2021	2020 / 2021	0.0	Preto	manual	5.0	50.990,00
152	201	./dados/dados_carro\Carro-1222.html	Ford Ka 1.0 SE Plus 2021	2020 / 2021	0.0	Prata	manual	4.0	51.123,00
153	202	./dados/dados_carro\Carro-1223.html	Ford Ka 1.0 SE Plus 2021	2020 / 2021	0.0	Preto	manual	4.0	51.148,00
154	203	./dados/dados_carro\Carro-1225.html	Ford Ka 1.0 SE 2021	2020 / 2021	0.0	Vermelho	manual	5.0	51.440,00
155	204	./dados/dados_carro\Carro-1228.html	Ford Ka 1.0 SE Plus 2021	2020 / 2021	0.0	Não informada.	manual		54.490,00
156	205	./dados/dados_carro\Carro-1229.html	Ford Ka 1.0 Freestyle 2021	2020 / 2021	0.0	Preto	manual		54.990,00
157	206	./dados/dados_carro\Carro-123.html	Chevrolet Onix 1.0 Turbo LTZ (Aut) 2020	2020 / 2020	0.0	Prata	automático	5.0	65.990,00
158	207	./dados/dados_carro\Carro-1230.html	Ford Ka 1.0 Freestyle 2021	2020 / 2021	0.0	Preto	manual	4.0	56.990,00
159	208	./dados/dados_carro\Carro-1232.html	Ford Ka 1.5 SE Plus (Aut) 2021	2020 / 2021	0.0	Prata	automático		59.980,00
160	209	./dados/dados_carro\Carro-1233.html	Ford Ka 1.5 SE Plus (Aut) 2021	2020 / 2021	0.0	Branco	automático	4.0	60.002,00
161	212	./dados/dados_carro\Carro-1236.html	Ford Ka 1.0 Freestyle 2021	2020 / 2021	0.0	manual			60.590,00
162	213	./dados/dados_carro\Carro-1237.html	Ford Ka 1.0 Freestyle 2021	2020 / 2021	0.0	Branco	manual	5.0	60.590,00
163	214	./dados/dados_carro\Carro-1238.html	Ford Ka 1.0 Freestyle 2021	2020 / 2021	0.0	Branco	manual	5.0	61.290,00
164	215	./dados/dados_carro\Carro-1239.html	Ford Ka 1.5 Freestyle (Aut) 2021	2020 / 2021	0.0	Branco	automático	4.0	66.990,00
165	216	./dados/dados_carro\Carro-1240.html	Ford Ka 1.5 Freestyle (Aut) 2021	2020 / 2021	0.0	Não informada.	automático		68.490,00
166	217	./dados/dados_carro\Carro-1241.html	Ford Ka 1.0 S 2020	2020 / 2020	0.0	Preto	manual		31.492,80
167	218	./dados/dados_carro\Carro-1242.html	Ford Ka 1.0 S 2020	2020 / 2020	0.0	Várias cores	manual	4.0	31.492,80
168	219	./dados/dados_carro\Carro-1243.html	Ford Ka 1.0 S 2020	2019 / 2020	0.0	Vermelho	manual		31.492,80
169	220	./dados/dados_carro\Carro-1244.html	Ford Ka 1.0 S 2020	2020 / 2020	0.0	Várias cores	manual		31.492,80
170	221	./dados/dados_carro\Carro-1245.html	Ford Ka 1.0 S 2020	2020 / 2020	0.0	Branco	manual		31.492,80
171	222	./dados/dados_carro\Carro-1246.html	Ford Ka 1.0 S 2020	2019 / 2020	0.0	Vermelho	manual		31.492,80
172	223	./dados/dados_carro\Carro-1249.html	Ford Ka 1.0 S 2020	2020 / 2020	0.0	Vinho	manual	5.0	31.492,80
173	224	./dados/dados_carro\Carro-125.html	Chevrolet Onix 1.0 Turbo LT 2020	2020 / 2020	0.0	Branco	manual	4.0	67.290,00
174	225	./dados/dados_carro\Carro-1254.html	Ford Ka 1.0 S 2020	2019 / 2020	0.0	Várias cores	manual		31.494,00
175	226	./dados/dados_carro\Carro-1255.html	Ford Ka 1.0 S 2020	2020 / 2020	0.0	Branco	manual	4.0	34.930,00
176	227	./dados/dados_carro\Carro-1256.html	Ford Ka 1.0 S 2020	2019 / 2020	0.0	Várias cores	manual		32.068,08
177	228	./dados/dados_carro\Carro-1257.html	Ford Ka 1.0 S 2020	2019 / 2020	0.0	Várias cores	manual		32.068,08
178	229	./dados/dados_carro\Carro-1258.html	Ford Ka 1.0 S 2020	2019 / 2020	0.0	Várias cores	manual	5.0	32.122,08
179	231	./dados/dados_carro\Carro-126.html	Chevrolet Onix 1.0 Turbo LTZ 2020	2019 / 2020	0.0	Laranja	automático	5.0	67.390,00
180	233	./dados/dados_carro\Carro-1261.html	Ford Ka 1.0 S 2020	2019 / 2020	0.0	Vermelho	manual	5.0	32.122,08
181	234	./dados/dados_carro\Carro-1262.html	Ford Ka 1.0 S 2020	2020 / 2020	0.0	Vermelho	manual		32.498,00
182	235	./dados/dados_carro\Carro-1263.html	Ford Ka 1.0 S 2020	2020 / 2020	0.0	Várias cores	manual		32.499,00
