	arquivo	nome	ano	km	cor	cambio	portas	preco
1457	./dados/dados_carro\Carro-442.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	40.084 	Branco	manual	4.0	46.530,00
1458	./dados/dados_carro\Carro-443.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	53.151 	Cinza	manual	4.0	46.530,00
1459	./dados/dados_carro\Carro-444.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	25.238 	Branco	manual	4.0	46.590,00
1460	./dados/dados_carro\Carro-445.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	29.733 	Branco	manual	4.0	46.730,00
1461	./dados/dados_carro\Carro-447.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	26.280 	Branco	manual	4.0	46.780,00
1462	./dados/dados_carro\Carro-448.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	27.612 	Branco	manual	4.0	46.780,00
1463	./dados/dados_carro\Carro-449.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	27.696 	Branco	manual	4.0	46.780,00
1464	./dados/dados_carro\Carro-45.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Branco	manual	4.0	50.990,00
1465	./dados/dados_carro\Carro-450.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	27.696 	Branco	manual	4.0	46.780,00
1466	./dados/dados_carro\Carro-451.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	40.000 	Prata	manual	5.0	46.800,00
1467	./dados/dados_carro\Carro-452.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	40.000 	Branco	manual	5.0	46.800,00
1468	./dados/dados_carro\Carro-453.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	9.898 	Branco	manual	5.0	46.800,00
1469	./dados/dados_carro\Carro-454.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	24.769 	Branco	manual	4.0	46.870,00
1470	./dados/dados_carro\Carro-455.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	24.806 	Branco	manual	4.0	46.870,00
1471	./dados/dados_carro\Carro-456.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	25.000 	Branco	manual	4.0	46.890,00
1472	./dados/dados_carro\Carro-458.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	24.000 	Branco	manual	4.0	46.890,00
1473	./dados/dados_carro\Carro-459.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	25.000 	Branco	manual	4.0	46.890,00
1474	./dados/dados_carro\Carro-46.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Branco	manual		52.880,00
1475	./dados/dados_carro\Carro-461.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	24.000 	Branco	manual	4.0	46.890,00
1476	./dados/dados_carro\Carro-462.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	49.235 	Cinza	manual	4.0	46.890,00
1477	./dados/dados_carro\Carro-463.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	25.000 	Branco	manual	4.0	46.890,00
1478	./dados/dados_carro\Carro-465.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	24.000 	Branco	manual	4.0	46.890,00
1479	./dados/dados_carro\Carro-466.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	25.000 	Branco	manual	4.0	46.890,00
1480	./dados/dados_carro\Carro-468.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	24.000 	Branco	manual	4.0	46.890,00
1481	./dados/dados_carro\Carro-47.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Laranja	manual	4.0	52.990,00
