	nome	ano	km	cor	cambio	portas	preco	flex
103	Fiat Strada Cabine Dupla Freedom 	2021	0.0	Preto	manual	4.0	70191.0	0.0
104	Fiat Strada Cabine Plus Freedom 	2021	0.0	Branco	manual	2.0	70390.0	0.0
105	Fiat Strada Cabine Plus Freedom 	2021	0.0	Branco	manual	4.0	70390.0	0.0
106	Fiat Strada Cabine Plus Freedom 	2021	0.0	Branco	manual	2.0	70900.0	0.0
107	Fiat Strada Cabine Dupla Freedom 	2021	0.0	Não informada.	manual	4.0	71900.0	0.0
108	Fiat Strada Cabine Plus Freedom 	2021	0.0	Preto	manual	2.0	72000.0	0.0
109	Chevrolet Onix 1.0 Turbo AT 	2020	0.0	Branco	automático	5.0	61990.0	0.0
110	Fiat Strada Cabine Dupla Freedom 	2021	0.0	Branco	manual	2.0	73692.0	0.0
111	Fiat Strada Cabine Dupla Endurance 	2021	0.0	Prata	manual	4.0	74990.0	0.0
112	Chevrolet Onix 1.0 LT 	2020	0.0	Laranja	manual	4.0	63000.0	1.0
113	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Várias cores	manual	4.0	75990.0	0.0
114	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Não informada.	manual	5.0	76400.0	0.0
115	Fiat Strada Cabine Dupla Freedom 	2021	0.0	Preto	manual	4.0	77990.0	0.0
116	Fiat Strada Cabine Dupla Freedom 	2021	0.0	Cinza	manual	4.0	77990.0	0.0
117	Chevrolet Onix 1.0 Turbo LT 	2020	0.0	Prata	manual	5.0	63990.0	0.0
118	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Vermelho	manual	4.0	79890.0	0.0
119	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Preto	manual	4.0	79990.0	0.0
120	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Não informada.	manual	4.0	79990.0	0.0
121	Chevrolet Onix 1.0 Turbo LT 	2020	0.0	Branco	manual	3.0	64590.0	0.0
122	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Cinza	manual	3.0	79990.0	0.0
123	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Cinza	manual	4.0	79990.0	0.0
124	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Vermelho	manual	3.0	79990.0	0.0
125	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Vermelho	manual	4.0	79990.0	0.0
126	Chevrolet Onix 1.0 Turbo LT 	2020	335.0	Preto	manual	4.0	64900.0	0.0
127	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Várias cores	manual	4.0	79990.0	0.0
128	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Branco	manual	3.0	79990.0	0.0
129	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Não informada.	manual	4.0	83390.0	0.0
130	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Vermelho	manual		83480.0	0.0
131	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Vermelho	manual	4.0	83990.0	0.0
132	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Cinza	manual	4.0	82800.0	0.0
133	Fiat Strada Cabine Dupla Volcano 	2021	0.0	Vermelho	manual	4.0	85900.0	0.0
134	Ford Ka 1.0 S 	2021	0.0	Várias cores	manual		32122.0	0.0
135	Ford Ka 1.0 S 	2021	0.0	Várias cores	manual	4.0	32122.0	0.0
136	Ford Ka 1.0 SE 	2021	0.0	Preto	manual	4.0	37097.0	0.0
137	Ford Ka 1.0 SE 	2020	37.0	Prata	manual	5.0	38900.0	0.0
138	Ford Ka Sedan SE 1.0 	2020	200.0	Cinza	manual	4.0	38900.0	1.0
139	Ford Ka 1.0 SE 	2020	10.5	Branco	manual	4.0	42500.0	0.0
140	Ford Ka 1.0 SE 	2020	10.075	Preto	manual	4.0	43000.0	0.0
141	Chevrolet Onix 1.0 Turbo LT 	2020	0.0	Prata	manual	4.0	64999.0	0.0
142	Ford Ka 1.0 SE 	2020	3.0	Vermelho	manual	5.0	43990.0	0.0
143	Ford Ka 1.0 SE 	2020	28.0	Cinza	manual	4.0	43990.0	0.0
144	Ford Ka 1.0 SE 	2019	16.892	Preto	manual	4.0	30431.0	1.0
145	Ford Ka 1.0 SE 	2019	38.633	Branco	manual	5.0	36977.0	1.0
146	Ford Ka 1.0 SE 	2019	40.8	Prata	manual	4.0	37900.0	1.0
147	Ford Ka 1.0 SE Plus 	2019	59.0	Prata	manual	4.0	38000.0	1.0
148	Ford Ka 1.0 SE Plus 	2019	60.0	Preto	manual	4.0	38900.0	1.0
149	Chevrolet Onix 1.0 Turbo LTZ 	2020	0.0	Laranja	manual	5.0	65990.0	0.0
150	Ford Ka 1.0 SE 	2021	0.0	Não informada.	manual		50740.0	0.0
151	Ford Ka 1.0 SE Plus 	2021	0.0	Preto	manual	5.0	50990.0	0.0
152	Ford Ka 1.0 SE Plus 	2021	0.0	Prata	manual	4.0	51123.0	0.0
153	Ford Ka 1.0 SE Plus 	2021	0.0	Preto	manual	4.0	51148.0	0.0
154	Ford Ka 1.0 SE 	2021	0.0	Vermelho	manual	5.0	51440.0	0.0
155	Ford Ka 1.0 SE Plus 	2021	0.0	Não informada.	manual		54490.0	0.0
156	Ford Ka 1.0 Freestyle 	2021	0.0	Preto	manual		54990.0	0.0
157	Chevrolet Onix 1.0 Turbo LTZ 	2020	0.0	Prata	automático	5.0	65990.0	0.0
158	Ford Ka 1.0 Freestyle 	2021	0.0	Preto	manual	4.0	56990.0	0.0
159	Ford Ka 1.5 SE Plus 	2021	0.0	Prata	automático		59980.0	0.0
160	Ford Ka 1.5 SE Plus 	2021	0.0	Branco	automático	4.0	60002.0	0.0
161	Ford Ka 1.0 Freestyle 	2021	0.0	manual			60590.0	0.0
162	Ford Ka 1.0 Freestyle 	2021	0.0	Branco	manual	5.0	60590.0	0.0
